source_table,source_column,target_table_pred,target_table_column_pred,n_shots
D_ICD_PROCEDURES,ICD9_CODE,procedure_occurrence,procedure_source_value,1
D_ICD_PROCEDURES,SHORT_TITLE,procedure_occurrence,procedure_concept_id,1
D_ICD_PROCEDURES,LONG_TITLE,D_ICD_PROCEDURES,LONG_TITLE,1
d_items,ITEMID,d_items,ITEMID,1
d_items,LABEL,concept,concept_name,1
d_items,ABBREVIATION,d_items,ABBREVIATION,1
d_items,DBSOURCE,d_items,DBSOURCE,1
d_items,LINKSTO,d_items,LINKSTO,1
d_items,CATEGORY,concept,concept_class_id,1
d_items,UNITNAME,concept,concept_name,1
d_items,PARAM_TYPE,d_items,PARAM_TYPE,1
d_items,CONCEPTID,concept,concept_id,1
D_LABITEMS,ITEMID,measurement,measurement_concept_id,1
D_LABITEMS,LABEL,concept,concept_name,1
D_LABITEMS,FLUID,measurement,measurement_type_concept_id,1
D_LABITEMS,CATEGORY,measurement,measurement_type_concept_id,1
D_LABITEMS,LOINC_CODE,concept,concept_code,1
DATETIMEEVENTS,SUBJECT_ID,person,person_id,1
DATETIMEEVENTS,HADM_ID,visit_occurrence,visit_occurrence_id,1
DATETIMEEVENTS,ICUSTAY_ID,DATETIMEEVENTS,ICUSTAY_ID,1
DATETIMEEVENTS,ITEMID,DATETIMEEVENTS,ITEMID,1
DATETIMEEVENTS,CHARTTIME,DATETIMEEVENTS,CHARTTIME,1
DATETIMEEVENTS,STORETIME,DATETIMEEVENTS,STORETIME,1
DATETIMEEVENTS,CGID,DATETIMEEVENTS,CGID,1
DATETIMEEVENTS,VALUE,DATETIMEEVENTS,VALUE,1
DATETIMEEVENTS,VALUEUOM,measurement,unit_source_value,1
DATETIMEEVENTS,WARNING,observation,value_as_string,1
DATETIMEEVENTS,ERROR,observation,value_source_value,1
DATETIMEEVENTS,RESULTSTATUS,observation,observation_status,1
DATETIMEEVENTS,STOPPED,DATETIMEEVENTS,STOPPED,1
DIAGNOSES_ICD,SUBJECT_ID,person,person_id,1
DIAGNOSES_ICD,HADM_ID,visit_occurrence,visit_occurrence_id,1
DIAGNOSES_ICD,SEQ_NUM,condition_occurrence,condition_concept_id,1
DIAGNOSES_ICD,ICD9_CODE,condition_occurrence,condition_source_value,1
DRGCODES,SUBJECT_ID,person,person_id,1
DRGCODES,HADM_ID,visit_occurrence,visit_occurrence_id,1
DRGCODES,DRG_TYPE,observation,observation_source_value,1
DRGCODES,DRG_CODE,DRGCODES,DRG_CODE,1
DRGCODES,DESCRIPTION,DRGCODES,DESCRIPTION,1
DRGCODES,DRG_SEVERITY,DRGCODES,DRG_SEVERITY,1
DRGCODES,DRG_MORTALITY,DRGCODES,DRG_MORTALITY,1
ICUSTAYS,SUBJECT_ID,person,person_id,1
ICUSTAYS,HADM_ID,visit_occurrence,visit_occurrence_id,1
ICUSTAYS,ICUSTAY_ID,ICUSTAYS,ICUSTAY_ID,1
ICUSTAYS,DBSOURCE,ICUSTAYS,DBSOURCE,1
ICUSTAYS,FIRST_CAREUNIT,ICUSTAYS,FIRST_CAREUNIT,1
ICUSTAYS,LAST_CAREUNIT,ICUSTAYS,LAST_CAREUNIT,1
ICUSTAYS,FIRST_WARDID,visit_occurrence,preceding_visit_occurrence_id,1
ICUSTAYS,LAST_WARDID,ICUSTAYS,LAST_WARDID,1
ICUSTAYS,INTIME,ICUSTAYS,INTIME,1
ICUSTAYS,OUTTIME,visit_detail,discharge_date,1
ICUSTAYS,LOS,ICUSTAYS,LOS,1
INPUTEVENTS_CV,SUBJECT_ID,observation,person_id,1
INPUTEVENTS_CV,HADM_ID,visit_occurrence,visit_occurrence_id,1
INPUTEVENTS_CV,ICUSTAY_ID,visit_occurrence,visit_occurrence_id,1
INPUTEVENTS_CV,CHARTTIME,INPUTEVENTS_CV,CHARTTIME,1
INPUTEVENTS_CV,ITEMID,INPUTEVENTS_CV,ITEMID,1
INPUTEVENTS_CV,AMOUNT,INPUTEVENTS_CV,AMOUNT,1
INPUTEVENTS_CV,AMOUNTUOM,drug_exposure,dose_unit_source_value,1
INPUTEVENTS_CV,RATE,drug_exposure,dose_unit_source_value,1
INPUTEVENTS_CV,RATEUOM,INPUTEVENTS_CV,RATEUOM,1
INPUTEVENTS_CV,STORETIME,INPUTEVENTS_CV,STORETIME,1
INPUTEVENTS_CV,CGID,INPUTEVENTS_CV,CGID,1
INPUTEVENTS_CV,ORDERID,INPUTEVENTS_CV,ORDERID,1
INPUTEVENTS_CV,LINKORDERID,procedure_occurrence,procedure_occurrence_id,1
INPUTEVENTS_CV,STOPPED,drug_exposure,stop_reason,1
INPUTEVENTS_CV,NEWBOTTLE,INPUTEVENTS_CV,NEWBOTTLE,1
INPUTEVENTS_CV,ORIGINALAMOUNT,procedure_occurrence,quantity,1
INPUTEVENTS_CV,ORIGINALAMOUNTUOM,drug_exposure,quantity,1
INPUTEVENTS_CV,ORIGINALROUTE,INPUTEVENTS_CV,ORIGINALROUTE,1
INPUTEVENTS_CV,ORIGINALRATE,INPUTEVENTS_CV,ORIGINALRATE,1
INPUTEVENTS_CV,ORIGINALRATEUOM,drug_exposure,dose_unit_source_value,1
INPUTEVENTS_CV,ORIGINALSITE,procedure_occurrence,quantity,1
LABEVENTS,SUBJECT_ID,person,person_id,1
LABEVENTS,HADM_ID,visit_occurrence,visit_occurrence_id,1
LABEVENTS,ITEMID,measurement,measurement_concept_id,1
LABEVENTS,CHARTTIME,measurement,measurement_datetime,1
LABEVENTS,VALUE,LABEVENTS,VALUE,1
LABEVENTS,VALUENUM,measurement,value_as_number,1
LABEVENTS,VALUEUOM,measurement,unit_concept_id,1
LABEVENTS,FLAG,measurement,value_as_concept_id,1
MICROBIOLOGYEVEN,SUBJECT_ID,person,person_id,1
MICROBIOLOGYEVEN,HADM_ID,visit_occurrence,visit_occurrence_id,1
MICROBIOLOGYEVEN,CHARTDATE,visit_occurrence,visit_start_date,1
MICROBIOLOGYEVEN,CHARTTIME,MICROBIOLOGYEVEN,CHARTTIME,1
MICROBIOLOGYEVEN,SPEC_ITEMID,specimen,specimen_concept_id,1
MICROBIOLOGYEVEN,SPEC_TYPE_DESC,specimen,specimen_type_concept_id,1
MICROBIOLOGYEVEN,ORG_ITEMID,MICROBIOLOGYEVEN,ORG_ITEMID,1
MICROBIOLOGYEVEN,ORG_NAME,MICROBIOLOGYEVEN,ORG_NAME,1
MICROBIOLOGYEVEN,ISOLATE_NUM,MICROBIOLOGYEVEN,ISOLATE_NUM,1
MICROBIOLOGYEVEN,AB_ITEMID,measurement,measurement_concept_id,1
MICROBIOLOGYEVEN,AB_NAME,measurement,measurement_concept_id,1
MICROBIOLOGYEVEN,DILUTION_TEXT,measurement,value_as_string,1
MICROBIOLOGYEVEN,DILUTION_COMPARISON,MICROBIOLOGYEVEN,DILUTION_COMPARISON,1
MICROBIOLOGYEVEN,DILUTION_VALUE,measurement,value_as_number,1
MICROBIOLOGYEVEN,INTERPRETATION,note,note_text,1
NOTEEVENTS,SUBJECT_ID,person,person_id,1
NOTEEVENTS,HADM_ID,visit_occurrence,visit_occurrence_id,1
NOTEEVENTS,CHARTDATE,note,note_date,1
NOTEEVENTS,CHARTTIME,note,note_date,1
NOTEEVENTS,STORETIME,note,note_date,1
NOTEEVENTS,CATEGORY,note,note_type_concept_id,1
NOTEEVENTS,DESCRIPTION,note,note_text,1
NOTEEVENTS,CGID,note,provider_id,1
NOTEEVENTS,ISERROR,note,note_source_value,1
NOTEEVENTS,TEXT,note,note_text,1
OUTPUTEVENTS,SUBJECT_ID,person,person_id,1
OUTPUTEVENTS,HADM_ID,visit_detail,visit_occurrence_id,1
OUTPUTEVENTS,ICUSTAY_ID,OUTPUTEVENTS,ICUSTAY_ID,1
OUTPUTEVENTS,CHARTTIME,OUTPUTEVENTS,CHARTTIME,1
OUTPUTEVENTS,ITEMID,OUTPUTEVENTS,ITEMID,1
OUTPUTEVENTS,VALUE,measurement,value_as_number,1
OUTPUTEVENTS,VALUEUOM,OUTPUTEVENTS,VALUEUOM,1
OUTPUTEVENTS,STORETIME,note,note_datetime,1
OUTPUTEVENTS,CGID,care_site,care_site_id,1
OUTPUTEVENTS,STOPPED,OUTPUTEVENTS,STOPPED,1
OUTPUTEVENTS,NEWBOTTLE,OUTPUTEVENTS,NEWBOTTLE,1
OUTPUTEVENTS,ISERROR,measurement,value_source_value,1
PATIENTS,SUBJECT_ID,person,person_id,1
PATIENTS,GENDER,person,gender_concept_id,1
PATIENTS,DOB,person,birth_datetime,1
PATIENTS,DOD,death,death_date,1
PATIENTS,DOD_HOSP,death,death_date,1
PATIENTS,DOD_SSN,person,person_source_value,1
PATIENTS,EXPIRE_FLAG,death,death_type_concept_id,1
PRESCRIPTIONS,SUBJECT_ID,person,person_id,1
PRESCRIPTIONS,HADM_ID,visit_occurrence,visit_occurrence_id,1
PRESCRIPTIONS,ICUSTAY_ID,visit_occurrence,visit_occurrence_id,1
PRESCRIPTIONS,STARTDATE,PRESCRIPTIONS,STARTDATE,1
PRESCRIPTIONS,ENDDATE,drug_exposure,drug_exposure_end_date,1
PRESCRIPTIONS,DRUG_TYPE,drug_exposure,drug_type_concept_id,1
PRESCRIPTIONS,DRUG,PRESCRIPTIONS,DRUG,1
PRESCRIPTIONS,DRUG_NAME_POE,drug_exposure,drug_source_value,1
PRESCRIPTIONS,DRUG_NAME_GENERIC,drug_exposure,drug_concept_id,1
PRESCRIPTIONS,FORMULARY_DRUG_CD,drug_exposure,drug_concept_id,1
PRESCRIPTIONS,GSN,drug_exposure,drug_source_value,1
PRESCRIPTIONS,NDC,drug_exposure,drug_source_value,1
PRESCRIPTIONS,PROD_STRENGTH,drug_strength,strength_value,1
PRESCRIPTIONS,DOSE_VAL_RX,drug_exposure,dose_unit_source_value,1
PRESCRIPTIONS,DOSE_UNIT_RX,drug_exposure,dose_unit_source_value,1
PRESCRIPTIONS,FORM_VAL_DISP,PRESCRIPTIONS,FORM_VAL_DISP,1
PRESCRIPTIONS,FORM_UNIT_DISP,drug_exposure,quantity,1
PRESCRIPTIONS,ROUTE,drug_exposure,route_concept_id,1
PROCEDUREEVENTS_MV,SUBJECT_ID,PROCEDURE_OCCURRENCE,person_id,1
PROCEDUREEVENTS_MV,HADM_ID,PROCEDUREEVENTS_MV,HADM_ID,1
PROCEDUREEVENTS_MV,ICUSTAY_ID,PROCEDUREEVENTS_MV,ICUSTAY_ID,1
PROCEDUREEVENTS_MV,STARTTIME,PROCEDUREEVENTS_MV,STARTTIME,1
PROCEDUREEVENTS_MV,ENDTIME,procedure_occurrence,procedure_end_datetime,1
PROCEDUREEVENTS_MV,ITEMID,procedure_occurrence,procedure_concept_id,1
PROCEDUREEVENTS_MV,VALUE,measurement,value_as_number,1
PROCEDUREEVENTS_MV,VALUEUOM,procedure_occurrence,unit_source_value,1
PROCEDUREEVENTS_MV,LOCATION,procedure_occurrence,location_id,1
PROCEDUREEVENTS_MV,LOCATIONCATEGORY,procedure_occurrence,location_category,1
PROCEDUREEVENTS_MV,STORETIME,PROCEDUREEVENTS_MV,STORETIME,1
PROCEDUREEVENTS_MV,CGID,procedure_occurrence,provider_id,1
PROCEDUREEVENTS_MV,ORDERID,procedure_occurrence,procedure_occurrence_id,1
PROCEDUREEVENTS_MV,LINKORDERID,procedure_occurrence,procedure_occurrence_id,1
PROCEDUREEVENTS_MV,ORDERCATEGORYNAME,procedure_occurrence,procedure_type_concept_id,1
PROCEDUREEVENTS_MV,SECONDARYORDERCATEGORYNAME,procedure_occurrence,procedure_type_concept_id,1
PROCEDUREEVENTS_MV,ORDERCATEGORYDESCRIPTION,procedure_occurrence,procedure_type_concept_id,1
PROCEDUREEVENTS_MV,ISOPENBAG,procedure_occurrence,is_open_bag,1
PROCEDUREEVENTS_MV,CONTINUEINNEXTDEPT,procedure_occurrence,modifier_concept_id,1
PROCEDUREEVENTS_MV,CANCELREASON,procedure_occurrence,procedure_status_source_value,1
PROCEDUREEVENTS_MV,STATUSDESCRIPTION,procedure_occurrence,procedure_status_source_value,1
PROCEDUREEVENTS_MV,COMMENTS_EDITEDBY,procedure_occurrence,modifier_concept_id,1
PROCEDUREEVENTS_MV,COMMENTS_CANCELEDBY,PROCEDUREEVENTS_MV,COMMENTS_CANCELEDBY,1
PROCEDUREEVENTS_MV,COMMENTS_DATE,procedure_occurrence,procedure_date,1
PROCEDURES_ICD,SUBJECT_ID,procedure_occurrence,person_id,1
PROCEDURES_ICD,HADM_ID,visit_occurrence,visit_occurrence_id,1
PROCEDURES_ICD,SEQ_NUM,procedure_occurrence,procedure_occurrence_id,1
PROCEDURES_ICD,ICD9_CODE,procedure_occurrence,procedure_source_value,1
SERVICES,SUBJECT_ID,visit_occurrence,person_id,1
SERVICES,HADM_ID,visit_occurrence,visit_occurrence_id,1
SERVICES,TRANSFERTIME,visit_occurrence,visit_start_datetime,1
SERVICES,PREV_SERVICE,SERVICES,PREV_SERVICE,1
SERVICES,CURR_SERVICE,SERVICES,CURR_SERVICE,1
TRANSFERS,SUBJECT_ID,TRANSFERS,SUBJECT_ID,1
TRANSFERS,HADM_ID,visit_occurrence,visit_occurrence_id,1
TRANSFERS,ICUSTAY_ID,visit_occurrence,visit_occurrence_id,1
TRANSFERS,DBSOURCE,TRANSFERS,DBSOURCE,1
TRANSFERS,EVENTTYPE,TRANSFERS,EVENTTYPE,1
TRANSFERS,PREV_CAREUNIT,TRANSFERS,PREV_CAREUNIT,1
TRANSFERS,CURR_CAREUNIT,TRANSFERS,CURR_CAREUNIT,1
TRANSFERS,PREV_WARDID,care_site,care_site_id,1
TRANSFERS,CURR_WARDID,TRANSFERS,CURR_WARDID,1
TRANSFERS,INTIME,visit_occurrence,visit_start_datetime,1
TRANSFERS,OUTTIME,TRANSFERS,OUTTIME,1
TRANSFERS,LOS,TRANSFERS,LOS,1
Member,UNIQUE_MEMBER_IDC,person,person_id,1
Member,SUBSCRIBER_MEMBER_IDC,Member,SUBSCRIBER_MEMBER_IDC,1
Member,CVR_MNTH_DT,observation_period,observation_period_start_date,1
Member,RLNSHP_TO_SUBSCRIBER_CODE,payer_plan_period,relationship_to_subscriber_concept_id,1
Member,MEMBER_DATE_OF_BIRTH,person,birth_datetime,1
Member,MEMBER_GENDER,person,gender_concept_id,1
Member,PRIMARY_PRODUCT_CODE,drug_exposure,drug_concept_id,1
Member,ENRL_FROM_DT,observation_period,observation_period_start_date,1
Member,ENRL_THRU_DT,observation_period,observation_period_end_date,1
Member,MEMBER_CITY,location,city,1
Member,MEMBER_STATE,location,state,1
Member,MEMBER_ZIP,location,zip,1
Member,MBR_LOC_CNTY_CD,location,county,1
Member,MBR_LOC_CNTY_NM,location,county,1
Member,COVERAGE_LEVEL_CODE,observation,value_as_concept_id,1
Member,CUST_TYPE_DESC,person,person_source_value,1
Member,SUBGROUP_NUMBER_BIZ,Member,SUBGROUP_NUMBER_BIZ,1
Member,BENEFIT_PACKAGE_ID,Member,BENEFIT_PACKAGE_ID,1
Member,MARITAL_STATUS_CODE,person,marital_status_concept_id,1
Member,HMO,Member,HMO,1
Member,PPO,Member,PPO,1
Member,POS,Member,POS,1
Member,CMM,Member,CMM,1
Member,EPO,Member,EPO,1
Member,PHARMACY,drug_exposure,provider_id,1
Member,DENTAL,observation,observation_concept_id,1
Member,MH,Member,MH,1
Member,SA,Member,SA,1
Member,VISION,observation,observation_concept_id,1
Member,OFFERING_FEATURE_CODE,Member,OFFERING_FEATURE_CODE,1
Member,BENEFIT_SERIES_ID,Member,BENEFIT_SERIES_ID,1
Member,BENEFIT_PACKAGE_RANK_NUMBERC,Member,BENEFIT_PACKAGE_RANK_NUMBERC,1
Member,POLICY_MEMBER_IDC,person,person_id,1
Member,UNIQUE_MEMBER_ID,Member,UNIQUE_MEMBER_ID,1
Member,SUBSCRIBER_MEMBER_ID,Member,SUBSCRIBER_MEMBER_ID,1
Member,POLICY_MEMBER_ID,visit_occurrence,person_id,1
Member,BENEFIT_PACKAGE_RANK_NUMBER,benefit_package,benefit_package_id,1
Member,C_CVR_MNTH,observation_period,observation_period_start_date,1
Member,C_DOB,person,birth_datetime,1
Member,C_MEMBER_AGE_2017,person,year_of_birth,1
Member,DATE_ENRL_FROM,observation_period,observation_period_start_date,1
Member,DATE_ENRL_THRU,observation_period,observation_period_end_date,1
Member,C_MEMBER_SSN,person,person_source_value,1
Member,C_SUBSCRIBER_SSN,person,person_source_value,1
Member,C_XTRCT_DT,observation_period,observation_period_start_date,1
Member,ROW_SOURCE_FROM,Member,ROW_SOURCE_FROM,1
Claim,DESY_SORT_KEY,fact_relationship,fact_id_1,1
Claim,CLAIM_NO,Claim,CLAIM_NO,1
Claim,PRVDR_NUM,Claim,PRVDR_NUM,1
Claim,CLM_THRU_DT,claim,CLM_THRU_DT,1
Claim,NCH_NEAR_LINE_REC_IDENT_CD,Claim,NCH_NEAR_LINE_REC_IDENT_CD,1
Claim,NCH_CLM_TYPE_CD,Claim,NCH_CLM_TYPE_CD,1
Claim,CLAIM_QUERY_CODE,procedure_occurrence,procedure_source_value,1
Claim,CLM_FAC_TYPE_CD,Claim,CLM_FAC_TYPE_CD,1
Claim,CLM_SRVC_CLSFCTN_TYPE_CD,Claim,CLM_SRVC_CLSFCTN_TYPE_CD,1
Claim,CLM_FREQ_CD,Claim,CLM_FREQ_CD,1
Claim,FI_NUM,Claim,FI_NUM,1
Claim,CLM_MDCR_NON_PMT_RSN_CD,Claim,CLM_MDCR_NON_PMT_RSN_CD,1
Claim,CLM_PMT_AMT,Claim,CLM_PMT_AMT,1
Claim,NCH_PRMRY_PYR_CLM_PD_AMT,Claim,NCH_PRMRY_PYR_CLM_PD_AMT,1
Claim,NCH_PRMRY_PYR_CD,Claim,NCH_PRMRY_PYR_CD,1
Claim,FI_CLM_ACTN_CD,claim,FI_CLM_ACTN_CD,1
Claim,PRVDR_STATE_CD,location,state,1
Claim,ORG_NPI_NUM,provider,provider_npi,1
Claim,AT_PHYSN_UPIN,provider,provider_source_value,1
Claim,AT_PHYSN_NPI,Claim,AT_PHYSN_NPI,1
Claim,OP_PHYSN_UPIN,provider,provider_source_value,1
Claim,OP_PHYSN_NPI,provider,provider_npi,1
Claim,OT_PHYSN_UPIN,Claim,OT_PHYSN_UPIN,1
Claim,OT_PHYSN_NPI,provider,provider_npi,1
Claim,CLM_MCO_PD_SW,Claim,CLM_MCO_PD_SW,1
Claim,PTNT_DSCHRG_STUS_CD,Claim,PTNT_DSCHRG_STUS_CD,1
Claim,CLM_PPS_IND_CD,Claim,CLM_PPS_IND_CD,1
Claim,CLM_TOT_CHRG_AMT,Claim,CLM_TOT_CHRG_AMT,1
Claim,CLM_ADMSN_DT,visit_occurrence,visit_start_date,1
Claim,CLM_IP_ADMSN_TYPE_CD,visit_occurrence,admitting_source_concept_id,1
Claim,CLM_SRC_IP_ADMSN_CD,Claim,CLM_SRC_IP_ADMSN_CD,1
Claim,NCH_PTNT_STATUS_IND_CD,Claim,NCH_PTNT_STATUS_IND_CD,1
Claim,CLM_PASS_THRU_PER_DIEM_AMT,cost,total_charge,1
Claim,NCH_BENE_IP_DDCTBL_AMT,Claim,NCH_BENE_IP_DDCTBL_AMT,1
Claim,NCH_BENE_PTA_COINSRNC_LBLTY_AMT,Claim,NCH_BENE_PTA_COINSRNC_LBLTY_AMT,1
Claim,NCH_BENE_BLOOD_DDCTBL_LBLTY_AM,drug_exposure,dose_unit_source_value,1
Claim,NCH_PROFNL_CMPNT_CHRG_AMT,Claim,NCH_PROFNL_CMPNT_CHRG_AMT,1
Claim,NCH_IP_NCVRD_CHRG_AMT,Claim,NCH_IP_NCVRD_CHRG_AMT,1
Claim,CLM_TOT_PPS_CPTL_AMT,Claim,CLM_TOT_PPS_CPTL_AMT,1
Claim,CLM_PPS_CPTL_FSP_AMT,Claim,CLM_PPS_CPTL_FSP_AMT,1
Claim,CLM_PPS_CPTL_OUTLIER_AMT,Claim,CLM_PPS_CPTL_OUTLIER_AMT,1
Claim,CLM_PPS_CPTL_DSPRPRTNT_SHR_AMT,Claim,CLM_PPS_CPTL_DSPRPRTNT_SHR_AMT,1
Claim,CLM_PPS_CPTL_IME_AMT,Claim,CLM_PPS_CPTL_IME_AMT,1
Claim,CLM_PPS_CPTL_EXCPTN_AMT,Claim,CLM_PPS_CPTL_EXCPTN_AMT,1
Claim,CLM_PPS_OLD_CPTL_HLD_HRMLS_AMT,Claim,CLM_PPS_OLD_CPTL_HLD_HRMLS_AMT,1
Claim,CLM_PPS_CPTL_DRG_WT_NUM,fact_relationship,fact_id_2,1
Claim,CLM_UTLZTN_DAY_CNT,observation_period,observation_period_days,1
Claim,BENE_TOT_COINSRNC_DAYS_CNT,Claim,BENE_TOT_COINSRNC_DAYS_CNT,1
Claim,BENE_LRD_USED_CNT,Claim,BENE_LRD_USED_CNT,1
Claim,CLM_NON_UTLZTN_DAYS_CNT,observation,value_as_number,1
Claim,NCH_BLOOD_PNTS_FRNSHD_QTY,procedure_occurrence,quantity,1
Claim,NCH_VRFD_NCVRD_STAY_FROM_DT,visit_occurrence,visit_start_date,1
Claim,NCH_VRFD_NCVRD_STAY_THRU_DT,visit_occurrence,visit_end_date,1
Claim,NCH_BENE_MDCR_BNFTS_EXHTD_DT_I,Claim,NCH_BENE_MDCR_BNFTS_EXHTD_DT_I,1
Claim,NCH_BENE_DSCHRG_DT,visit_occurrence,visit_end_date,1
Claim,CLM_DRG_CD,observation,unit_source_value,1
Claim,CLM_DRG_OUTLIER_STAY_CD,Claim,CLM_DRG_OUTLIER_STAY_CD,1
Claim,NCH_DRG_OUTLIER_APRVD_PMT_AMT,cost,drg,1
Claim,ADMTG_DGNS_CD,Claim,ADMTG_DGNS_CD,1
Claim,ADMTG_DGNS_VRSN_CD,Claim,ADMTG_DGNS_VRSN_CD,1
Claim,PRNCPAL_DGNS_CD,Claim,PRNCPAL_DGNS_CD,1
Claim,PRNCPAL_DGNS_VRSN_CD,Claim,PRNCPAL_DGNS_VRSN_CD,1
Claim,ICD_DGNS_CD1,condition_occurrence,condition_source_value,1
Claim,ICD_DGNS_VRSN_CD1,Claim,ICD_DGNS_VRSN_CD1,1
