source_table,source_column,target_table,target_column
MICROBIOLOGYEVEN,SPEC_ITEMID,SPECIMEN,specimen_type_concept_id
MICROBIOLOGYEVEN,SPEC_TYPE_DESC,SPECIMEN,specimen_source_value
MICROBIOLOGYEVEN,ORG_ITEMID,SPECIMEN,specimen_source_id
MICROBIOLOGYEVEN,ORG_NAME,SPECIMEN,specimen_source_value
MICROBIOLOGYEVEN,ISOLATE_NUM,SPECIMEN,quantity
MICROBIOLOGYEVEN,AB_ITEMID,None,None
MICROBIOLOGYEVEN,AB_NAME,None,None
MICROBIOLOGYEVEN,DILUTION_TEXT,None,None
MICROBIOLOGYEVEN,DILUTION_COMPARISON,None,None
MICROBIOLOGYEVEN,DILUTION_VALUE,None,None
MICROBIOLOGYEVEN,INTERPRETATION,None,None
NOTEEVENTS,SUBJECT_ID,NOTE,person_id
NOTEEVENTS,HADM_ID,NOTE,visit_occurrence_id
NOTEEVENTS,CHARTDATE,NOTE,note_date
NOTEEVENTS,CHARTTIME,NOTE,note_datetime
NOTEEVENTS,STORETIME,None,None
NOTEEVENTS,CATEGORY,NOTE,note_source_value
NOTEEVENTS,DESCRIPTION,NOTE,note_title
NOTEEVENTS,CGID,NOTE,provider_id
NOTEEVENTS,ISERROR,None,None
NOTEEVENTS,TEXT,NOTE,note_text
OUTPUTEVENTS,SUBJECT_ID,MEASUREMENT,person_id
OUTPUTEVENTS,HADM_ID,MEASUREMENT,visit_occurrence_id
OUTPUTEVENTS,ICUSTAY_ID,MEASUREMENT,visit_detail_id
OUTPUTEVENTS,CHARTTIME,MEASUREMENT,measurement_datetime
OUTPUTEVENTS,ITEMID,MEASUREMENT,measurement_concept_id
OUTPUTEVENTS,VALUE,MEASUREMENT,value_as_number
OUTPUTEVENTS,VALUEUOM,MEASUREMENT,unit_source_value
OUTPUTEVENTS,STORETIME,None,None
OUTPUTEVENTS,CGID,MEASUREMENT,provider_id
OUTPUTEVENTS,STOPPED,None,None
OUTPUTEVENTS,NEWBOTTLE,None,None
OUTPUTEVENTS,ISERROR,None,None
PATIENTS,SUBJECT_ID,PERSON,person_id
PATIENTS,GENDER,PERSON,gender_source_value
PATIENTS,DOB,PERSON,birth_datetime
PATIENTS,DOD,PERSON,death_datetime
PATIENTS,DOD_HOSP,None,None
PATIENTS,DOD_SSN,None,None
PATIENTS,EXPIRE_FLAG,None,None
PRESCRIPTIONS,SUBJECT_ID,DRUG_EXPOSURE,person_id
PRESCRIPTIONS,HADM_ID,DRUG_EXPOSURE,visit_occurrence_id
PRESCRIPTIONS,ICUSTAY_ID,DRUG_EXPOSURE,visit_detail_id
PRESCRIPTIONS,STARTDATE,DRUG_EXPOSURE,drug_exposure_start_datetime
PRESCRIPTIONS,ENDDATE,DRUG_EXPOSURE,drug_exposure_end_datetime
PRESCRIPTIONS,DRUG_TYPE,DRUG_EXPOSURE,drug_type_concept_id
PRESCRIPTIONS,DRUG,DRUG_EXPOSURE,drug_source_value
PRESCRIPTIONS,DRUG_NAME_POE,None,None
PRESCRIPTIONS,DRUG_NAME_GENERIC,None,None
PRESCRIPTIONS,FORMULARY_DRUG_CD,None,None
PRESCRIPTIONS,GSN,None,None
PRESCRIPTIONS,NDC,None,None
PRESCRIPTIONS,PROD_STRENGTH,None,None
PRESCRIPTIONS,DOSE_VAL_RX,DRUG_EXPOSURE,quantity
PRESCRIPTIONS,DOSE_UNIT_RX,DRUG_EXPOSURE,dose_unit_source_value
PRESCRIPTIONS,FORM_VAL_DISP,None,None
PRESCRIPTIONS,FORM_UNIT_DISP,None,None
PRESCRIPTIONS,ROUTE,DRUG_EXPOSURE,route_source_value
PROCEDUREEVENTS_MV,SUBJECT_ID,PROCEDURE_OCCURRENCE,person_id
PROCEDUREEVENTS_MV,HADM_ID,PROCEDURE_OCCURRENCE,visit_occurrence_id
PROCEDUREEVENTS_MV,ICUSTAY_ID,PROCEDURE_OCCURRENCE,visit_detail_id
PROCEDUREEVENTS_MV,STARTTIME,PROCEDURE_OCCURRENCE,procedure_datetime
PROCEDUREEVENTS_MV,ENDTIME,None,None
PROCEDUREEVENTS_MV,ITEMID,PROCEDURE_OCCURRENCE,procedure_concept_id
PROCEDUREEVENTS_MV,VALUE,PROCEDURE_OCCURRENCE,procedure_source_value
PROCEDUREEVENTS_MV,VALUEUOM,None,None
PROCEDUREEVENTS_MV,LOCATION,None,None
PROCEDUREEVENTS_MV,LOCATIONCATEGORY,None,None
PROCEDUREEVENTS_MV,STORETIME,None,None
PROCEDUREEVENTS_MV,CGID,PROCEDURE_OCCURRENCE,provider_id
PROCEDUREEVENTS_MV,ORDERID,None,None
PROCEDUREEVENTS_MV,LINKORDERID,None,None
PROCEDUREEVENTS_MV,ORDERCATEGORYNAME,PROCEDURE_OCCURRENCE,modifier_source_value
PROCEDUREEVENTS_MV,SECONDARYORDERCATEGORYNAME,None,None
PROCEDUREEVENTS_MV,ORDERCATEGORYDESCRIPTION,None,None
PROCEDUREEVENTS_MV,ISOPENBAG,None,None
PROCEDUREEVENTS_MV,CONTINUEINNEXTDEPT,None,None
PROCEDUREEVENTS_MV,CANCELREASON,None,None
PROCEDUREEVENTS_MV,STATUSDESCRIPTION,None,None
PROCEDUREEVENTS_MV,COMMENTS_EDITEDBY,None,None
PROCEDUREEVENTS_MV,COMMENTS_CANCELEDBY,None,None
PROCEDUREEVENTS_MV,COMMENTS_DATE,None,None
PROCEDURES_ICD,SUBJECT_ID,PROCEDURE_OCCURRENCE,person_id
PROCEDURES_ICD,HADM_ID,PROCEDURE_OCCURRENCE,visit_occurrence_id
PROCEDURES_ICD,SEQ_NUM,PROCEDURE_OCCURRENCE,quantity
PROCEDURES_ICD,ICD9_CODE,PROCEDURE_OCCURRENCE,procedure_source_value
SERVICES,SUBJECT_ID,VISIT_DETAIL,person_id
SERVICES,HADM_ID,VISIT_DETAIL,visit_occurrence_id
SERVICES,TRANSFERTIME,VISIT_DETAIL,visit_detail_start_datetime
SERVICES,PREV_SERVICE,VISIT_DETAIL,admitted_from_concept_id
SERVICES,CURR_SERVICE,VISIT_DETAIL,discharge_to_source_value
TRANSFERS,SUBJECT_ID,VISIT_DETAIL,person_id
TRANSFERS,HADM_ID,VISIT_DETAIL,visit_occurrence_id
TRANSFERS,ICUSTAY_ID,VISIT_DETAIL,visit_detail_id
TRANSFERS,DBSOURCE,None,None
TRANSFERS,EVENTTYPE,VISIT_DETAIL,visit_detail_source_value
TRANSFERS,PREV_CAREUNIT,VISIT_DETAIL,admitted_from_concept_id
TRANSFERS,CURR_CAREUNIT,VISIT_DETAIL,discharge_to_source_value
TRANSFERS,PREV_WARDID,None,None
TRANSFERS,CURR_WARDID,None,None
TRANSFERS,INTIME,VISIT_DETAIL,visit_detail_start_datetime
TRANSFERS,OUTTIME,VISIT_DETAIL,visit_detail_end_datetime
TRANSFERS,LOS,None,None
Member,UNIQUE_MEMBER_IDC,Person,person_source_value
Member,SUBSCRIBER_MEMBER_IDC,Person,person_source_value
Member,CVR_MNTH_DT,Payer_Plan_Period,payer_plan_period_start_date
Member,RLNSHP_TO_SUBSCRIBER_CODE,None,None
Member,MEMBER_DATE_OF_BIRTH,Person,birth_datetime
Member,MEMBER_GENDER,Person,gender_concept_id
Member,PRIMARY_PRODUCT_CODE,Payer_Plan_Period,payer_source_value
Member,ENRL_FROM_DT,Payer_Plan_Period,payer_plan_period_start_date
Member,ENRL_THRU_DT,Payer_Plan_Period,payer_plan_period_end_date
Member,MEMBER_CITY,Location,city
Member,MEMBER_STATE,Location,state
Member,MEMBER_ZIP,Location,zip
Member,MBR_LOC_CNTY_CD,Location,county
Member,MBR_LOC_CNTY_NM,Location,county
Member,COVERAGE_LEVEL_CODE,Payer_Plan_Period,plan_source_value
Member,CUST_TYPE_DESC,Payer_Plan_Period,payer_source_value
Member,SUBGROUP_NUMBER_BIZ,Payer_Plan_Period,plan_source_value
Member,BENEFIT_PACKAGE_ID,Payer_Plan_Period,plan_source_value
Member,MARITAL_STATUS_CODE,None,None
Member,HMO,Payer_Plan_Period,plan_source_value
Member,PPO,Payer_Plan_Period,plan_source_value
Member,POS,Payer_Plan_Period,plan_source_value
Member,CMM,Payer_Plan_Period,plan_source_value
Member,EPO,Payer_Plan_Period,plan_source_value
Member,PHARMACY,Payer_Plan_Period,plan_source_value
Member,DENTAL,Payer_Plan_Period,plan_source_value
Member,MH,Payer_Plan_Period,plan_source_value
Member,SA,Payer_Plan_Period,plan_source_value
Member,VISION,Payer_Plan_Period,plan_source_value
Member,OFFERING_FEATURE_CODE,Payer_Plan_Period,plan_source_value
Member,BENEFIT_SERIES_ID,Payer_Plan_Period,plan_source_value
Member,BENEFIT_PACKAGE_RANK_NUMBERC,Payer_Plan_Period,plan_source_value
Member,POLICY_MEMBER_IDC,Person,person_source_value
Member,UNIQUE_MEMBER_ID,Person,person_source_value
Member,SUBSCRIBER_MEMBER_ID,Person,person_source_value
Member,POLICY_MEMBER_ID,Person,person_source_value
Member,BENEFIT_PACKAGE_RANK_NUMBER,Payer_Plan_Period,plan_source_value
Member,C_CVR_MNTH,Payer_Plan_Period,payer_plan_period_start_date
Member,C_DOB,Person,birth_datetime
Member,C_MEMBER_AGE_2017,None,None
Member,DATE_ENRL_FROM,Payer_Plan_Period,payer_plan_period_start_date
Member,DATE_ENRL_THRU,Payer_Plan_Period,payer_plan_period_end_date
Member,C_MEMBER_SSN,Person,person_source_value
Member,C_SUBSCRIBER_SSN,Person,person_source_value
Member,C_XTRCT_DT,None,None
Member,ROW_SOURCE_FROM,None,None
Claim,DESY_SORT_KEY,None,None
Claim,CLAIM_NO,VISIT_OCCURRENCE,visit_occurrence_id
Claim,PRVDR_NUM,PROVIDER,provider_id
Claim,CLM_THRU_DT,VISIT_OCCURRENCE,visit_end_date
Claim,NCH_NEAR_LINE_REC_IDENT_CD,None,None
Claim,NCH_CLM_TYPE_CD,VISIT_OCCURRENCE,visit_type_concept_id
Claim,CLAIM_QUERY_CODE,None,None
Claim,CLM_FAC_TYPE_CD,VISIT_OCCURRENCE,care_site_id
Claim,CLM_SRVC_CLSFCTN_TYPE_CD,None,None
Claim,CLM_FREQ_CD,VISIT_OCCURRENCE,visit_occurrence_id
Claim,FI_NUM,None,None
Claim,CLM_MDCR_NON_PMT_RSN_CD,None,None
Claim,CLM_PMT_AMT,COST,paid_amount
Claim,NCH_PRMRY_PYR_CLM_PD_AMT,COST,paid_by_payer
Claim,NCH_PRMRY_PYR_CD,None,None
Claim,FI_CLM_ACTN_CD,None,None
Claim,PRVDR_STATE_CD,PROVIDER,provider_state
Claim,ORG_NPI_NUM,PROVIDER,provider_npi
Claim,AT_PHYSN_UPIN,None,None
Claim,AT_PHYSN_NPI,PROVIDER,provider_npi
Claim,OP_PHYSN_UPIN,None,None
Claim,OP_PHYSN_NPI,PROVIDER,provider_npi
Claim,OT_PHYSN_UPIN,None,None
Claim,OT_PHYSN_NPI,PROVIDER,provider_npi
Claim,CLM_MCO_PD_SW,None,None
Claim,PTNT_DSCHRG_STUS_CD,VISIT_OCCURRENCE,discharge_to_concept_id
Claim,CLM_PPS_IND_CD,None,None
Claim,CLM_TOT_CHRG_AMT,COST,total_charge
Claim,CLM_ADMSN_DT,VISIT_OCCURRENCE,visit_start_date
Claim,CLM_IP_ADMSN_TYPE_CD,VISIT_OCCURRENCE,admitting_source_concept_id
Claim,CLM_SRC_IP_ADMSN_CD,VISIT_OCCURRENCE,admitting_source_concept_id
Claim,NCH_PTNT_STATUS_IND_CD,None,None
Claim,CLM_PASS_THRU_PER_DIEM_AMT,COST,pass_through_amount
Claim,NCH_BENE_IP_DDCTBL_AMT,COST,deductible_amount
Claim,NCH_BENE_PTA_COINSRNC_LBLTY_AMT,COST,coinsurance_amount
Claim,NCH_BENE_BLOOD_DDCTBL_LBLTY_AM,COST,blood_deductible_amount
Claim,NCH_PROFNL_CMPNT_CHRG_AMT,COST,professional_component_charge
Claim,NCH_IP_NCVRD_CHRG_AMT,COST,non_covered_charge_amount
Claim,CLM_TOT_PPS_CPTL_AMT,None,None
Claim,CLM_PPS_CPTL_FSP_AMT,None,None
Claim,CLM_PPS_CPTL_OUTLIER_AMT,None,None
Claim,CLM_PPS_CPTL_DSPRPRTNT_SHR_AMT,None,None
Claim,CLM_PPS_CPTL_IME_AMT,None,None
Claim,CLM_PPS_CPTL_EXCPTN_AMT,None,None
Claim,CLM_PPS_OLD_CPTL_HLD_HRMLS_AMT,None,None
Claim,CLM_PPS_CPTL_DRG_WT_NUM,None,None
Claim,CLM_UTLZTN_DAY_CNT,VISIT_OCCURRENCE,length_of_stay
Claim,BENE_TOT_COINSRNC_DAYS_CNT,None,None
Claim,BENE_LRD_USED_CNT,None,None
Claim,CLM_NON_UTLZTN_DAYS_CNT,None,None
Claim,NCH_BLOOD_PNTS_FRNSHD_QTY,None,None
Claim,NCH_VRFD_NCVRD_STAY_FROM_DT,None,None
Claim,NCH_VRFD_NCVRD_STAY_THRU_DT,None,None
Claim,NCH_BENE_MDCR_BNFTS_EXHTD_DT_I,None,None
Claim,NCH_BENE_DSCHRG_DT,VISIT_OCCURRENCE,visit_end_date
Claim,CLM_DRG_CD,None,None
Claim,CLM_DRG_OUTLIER_STAY_CD,None,None
Claim,NCH_DRG_OUTLIER_APRVD_PMT_AMT,None,None
Claim,ADMTG_DGNS_CD,CONDITION_OCCURRENCE,condition_concept_id
Claim,ADMTG_DGNS_VRSN_CD,CONDITION_OCCURRENCE,condition_source_value
Claim,PRNCPAL_DGNS_CD,CONDITION_OCCURRENCE,condition_concept_id
Claim,PRNCPAL_DGNS_VRSN_CD,CONDITION_OCCURRENCE,condition_source_value
Claim,ICD_DGNS_CD1,CONDITION_OCCURRENCE,condition_concept_id
Claim,ICD_DGNS_VRSN_CD1,CONDITION_OCCURRENCE,condition_source_value
Claim,CLM_POA_IND_SW1,CONDITION_OCCURRENCE,present_on_admission_concept_id
Claim,ICD_DGNS_CD2,CONDITION_OCCURRENCE,condition_concept_id
Claim,ICD_DGNS_VRSN_CD2,CONDITION_OCCURRENCE,condition_source_value
Claim,CLM_POA_IND_SW2,CONDITION_OCCURRENCE,present_on_admission_concept_id
Claim,ICD_DGNS_CD3,CONDITION_OCCURRENCE,condition_concept_id
Claim,ICD_DGNS_VRSN_CD3,CONDITION_OCCURRENCE,condition_source_value
Claim,CLM_POA_IND_SW3,CONDITION_OCCURRENCE,present_on_admission_concept_id
Inpatient Visit Claims,Z_PATID,None,None
Inpatient Visit Claims,Z_CLMID,VISIT_OCCURRENCE,visit_occurrence_id
Inpatient Visit Claims,CLMSEQ,VISIT_OCCURRENCE,None
Inpatient Visit Claims,YR,VISIT_OCCURRENCE,year_of_visit
Inpatient Visit Claims,MNTH,VISIT_OCCURRENCE,month_of_visit
Inpatient Visit Claims,CLM_FRM_TYP,None,None
Inpatient Visit Claims,TOB,None,None
Inpatient Visit Claims,FST_DT,VISIT_OCCURRENCE,visit_start_date
Inpatient Visit Claims,LST_DT,VISIT_OCCURRENCE,visit_end_date
Inpatient Visit Claims,FST_ADMTDT,VISIT_OCCURRENCE,admission_date
Inpatient Visit Claims,LAST_DISCHDT,VISIT_OCCURRENCE,discharge_date
Inpatient Visit Claims,Z_ADMIT_ID,None,None
Inpatient Visit Claims,ADMIT_SRC,VISIT_OCCURRENCE,admitting_source_concept_id
Inpatient Visit Claims,ADMIT_TYPE,VISIT_OCCURRENCE,admission_type_concept_id
Inpatient Visit Claims,MDC,CONDITION_OCCURRENCE,condition_source_concept_id
Inpatient Visit Claims,PAID_DT,COST,paid_date
Inpatient Visit Claims,AMT_NET_PAID,COST,paid_amount
Inpatient Visit Claims,COINS,COST,coinsurance_amount
Inpatient Visit Claims,COPAY,COST,copayment_amount
Inpatient Visit Claims,DEDUCT,COST,deductible_amount
Inpatient Visit Claims,CALC_ALLWD,COST,allowed_amount
Inpatient Visit Claims,TOT_MEM_CS,COST,total_member_cost_share
Inpatient Visit Claims,UNITS,PROCEDURE_OCCURRENCE,quantity
Inpatient Visit Claims,DIAG1,CONDITION_OCCURRENCE,condition_concept_id
Inpatient Visit Claims,DIAG2,CONDITION_OCCURRENCE,condition_concept_id
Inpatient Visit Claims,DIAG3,CONDITION_OCCURRENCE,condition_concept_id
Inpatient Visit Claims,ICD10_CM1-10,CONDITION_OCCURRENCE,condition_source_value
Inpatient Visit Claims,POA1-10,CONDITION_OCCURRENCE,present_on_admission_concept_id
Inpatient Visit Claims,DRG,CONDITION_OCCURRENCE,drg_concept_id
Inpatient Visit Claims,DSTATUS,VISIT_OCCURRENCE,discharge_to_concept_id
Inpatient Visit Claims,PROC_CD,PROCEDURE_OCCURRENCE,procedure_concept_id
Inpatient Visit Claims,PROC1,PROCEDURE_OCCURRENCE,procedure_concept_id
Inpatient Visit Claims,PROC2,PROCEDURE_OCCURRENCE,procedure_concept_id
Inpatient Visit Claims,PROC3,PROCEDURE_OCCURRENCE,procedure_concept_id
Inpatient Visit Claims,PROCMOD,PROCEDURE_OCCURRENCE,modifier_concept_id
Inpatient Visit Claims,RVNU_CD,None,None
Inpatient Visit Claims,POS,VISIT_OCCURRENCE,place_of_service_concept_id
Inpatient Visit Claims,HNPI,PROVIDER,provider_npi
Inpatient Visit Claims,HNPI_BE,PROVIDER,billing_provider_npi
Inpatient Visit Claims,entity,None,None
Inpatient Visit Claims,PROVCAT,PROVIDER,provider_specialty_concept_id
Inpatient Visit Claims,PROV_ZIP_5_CD,PROVIDER,provider_zip_code
Inpatient Visit Claims,PROV_CBSA_CD,None,None
Inpatient Visit Claims,PROV_STATE,PROVIDER,provider_state
Inpatient Visit Claims,NTWRK_IND,None,None
Inpatient Visit Claims,PRIMARY_COV_IND,None,None
Inpatient Visit Claims,HCCI_HL_CAT,None,None
Inpatient Visit Claims,HCCI_DET_CAT,None,None
Inpatient Visit Claims,OVER65_FLAG,None,None
